"t.day","sp","numbr","P.MPa","nomID","stemID","k.g.s.MPa","r2","Pleaf.MPa","ver","plc"
291.40291710302,"quke","176_77_1",0,"quke 176_77_1 0 MPa","quke 176_77_1",0.00047297587174393,NA,-0.445,"v18",NA
291.411384703426,"quke","176_77_2",0,"quke 176_77_2 0 MPa","quke 176_77_2",0.000615864507796816,NA,-0.224,"v18",NA
291.467465869257,"quke","197_184_1",0,"quke 197_184_1 0 MPa","quke 197_184_1",0.000685554135894624,NA,-0.088,"v18",NA
291.477342808158,"quke","197_184_2",0,"quke 197_184_2 0 MPa","quke 197_184_2",0.000726085563551538,NA,-0.057,"v18",NA
291.513609008806,"quke","177_194_2",0,"quke 177_194_2 0 MPa","quke 177_194_2",0.000750224941600186,NA,-0.046,"v18",NA
291.522600295417,"quke","195_145_1",0,"quke 195_145_1 0 MPa","quke 195_145_1",0.000103467351917509,NA,-0.1,"v18",NA
291.553994688853,"quke","195_145_2",0,"quke 195_145_2 0 MPa","quke 195_145_2",0.000850266796398035,NA,-0.071,"v18",NA
291.57449689766,"quke","150_838_1",0,"quke 150_838_1 0 MPa","quke 150_838_1",0.000542692116463533,NA,-0.054,"v18",NA
291.588785882802,"quke","177_194_1",0,"quke 177_194_1 0 MPa","quke 177_194_1",0.018994448657233,0.998322665391329,-0.047,"v18",NA
291.610548895672,"quke","150_838_2",0,"quke 150_838_2 0 MPa","quke 150_838_2",0.000720324733482394,NA,-0.055,"v18",NA
293.490017581146,"quke","190_238_1",0,"quke 190_238_1 0 MPa","quke 190_238_1",0.000973409997448683,NA,-0.263,"v18",NA
293.516359228751,"quke","190_238_2",0,"quke 190_238_2 0 MPa","quke 190_238_2",0.00437513219084906,NA,-0.168,"v18",NA
293.555169295241,"quke","191_246_1",0,"quke 191_246_1 0 MPa","quke 191_246_1",0.000527103806495985,NA,-0.108,"v18",NA
293.574613013265,"quke","180_9_1",0,"quke 180_9_1 0 MPa","quke 180_9_1",0.000842299132971588,NA,-0.086,"v18",NA
293.585939769908,"quke","153_177_1",0,"quke 153_177_1 0 MPa","quke 153_177_1",0.000637840508693203,NA,-0.146,"v18",NA
293.610316699318,"quke","152_209_1",0,"quke 152_209_1 0 MPa","quke 152_209_1",0.000766082307895566,NA,-0.162,"v18",NA
293.65154814006,"quke","158_127_1",0,"quke 158_127_1 0 MPa","quke 158_127_1",0.00152035826988974,NA,-0.084,"v18",NA
293.667918795372,"quke","175_47_1",0,"quke 175_47_1 0 MPa","quke 175_47_1",0.000328747639789216,NA,-0.524,"v18",NA
293.684714052211,"quke","171_51_1",0,"quke 171_51_1 0 MPa","quke 171_51_1",3.28354243543609e-05,NA,-0.63,"v18",NA
293.710471085625,"quke","200_209_1",0,"quke 200_209_1 0 MPa","quke 200_209_1",0.000477377212366408,NA,-0.242,"v18",NA
293.71870342721,"quke","199_216_1",0,"quke 199_216_1 0 MPa","quke 199_216_1",0.000887337371631353,NA,-0.173,"v18",NA
293.73062275118,"quke","173_26_1",0,"quke 173_26_1 0 MPa","quke 173_26_1",0.000381931113677327,NA,-0.149,"v18",NA
293.743094158206,"quke","172_126_1",0,"quke 172_126_1 0 MPa","quke 172_126_1",0.000550809300066695,NA,-0.072,"v18",NA
293.781250424236,"quke","170_977_1",0,"quke 170_977_1 0 MPa","quke 170_977_1",0.000145745569036142,NA,-0.142,"v18",NA
293.793714775567,"quke","181_111_1",0,"quke 181_111_1 0 MPa","quke 181_111_1",8.08435139353818e-05,NA,-0.64,"v18",NA
293.805273604214,"quke","157_146_1",0,"quke 157_146_1 0 MPa","quke 157_146_1",3.18646011784843e-05,NA,-0.92,"v18",NA
293.815255420578,"quke","179_72_1",0,"quke 179_72_1 0 MPa","quke 179_72_1",0.000315387447543338,NA,-0.082,"v18",NA
293.827525115546,"quke","156_168_1",0,"quke 156_168_1 0 MPa","quke 156_168_1",0.00093924599270419,NA,-0.112,"v18",NA
293.837030882984,"quke","154_106_1",0,"quke 154_106_1 0 MPa","quke 154_106_1",0.000120701270058108,NA,-0.6,"v18",NA
293.844700357776,"quke","196_171_1",0,"quke 196_171_1 0 MPa","quke 196_171_1",0.000821172213554491,NA,-0.084,"v18",NA
293.853880697627,"quke","198_189_1",0,"quke 198_189_1 0 MPa","quke 198_189_1",0.000104967233177578,NA,-0.115,"v18",NA
