t.day,sp,numbr,P.MPa,nomID,stemID,k.g.s.MPa,r2,Pleaf.MPa,ver,plc,leaf_area
126.6503632,quke_ck,2496.1,0,quke_ck 2496.1 0 MPa,quke_ck 2496.1,0.000212362,NA,-0.1,v18,NA,68.691
126.659646,quke_ck,2496.2,0,quke_ck 2496.2 0 MPa,quke_ck 2496.2,1.77E-05,NA,-0.8,v18,NA,40.472
126.6671296,quke_ck,2496.3,0,quke_ck 2496.3 0 MPa,quke_ck 2496.3,9.32E-05,NA,-0.152,v18,NA,69.89
126.6736525,quke_ck,2498.1,0,quke_ck 2498.1 0 MPa,quke_ck 2498.1,0.000141816,NA,-0.1,v18,NA,69.057
126.6833472,quke_ck,2498.2,0,quke_ck 2498.2 0 MPa,quke_ck 2498.2,5.51E-05,NA,-0.45,v18,NA,94.72
126.6890812,quke_ck,2498.3,0,quke_ck 2498.3 0 MPa,quke_ck 2498.3,4.72E-05,NA,-0.3,v18,NA,74.706
126.7067053,quke_ck,2500.1,0,quke_ck 2500.1 0 MPa,quke_ck 2500.1,0.000284057,NA,-0.1,v18,NA,105.914
126.7136891,quke_ck,2500.2,0,quke_ck 2500.2 0 MPa,quke_ck 2500.2,0.000128703,NA,-0.358,v18,NA,135.761
126.7209231,quke_ck,2500.3,0,quke_ck 2500.3 0 MPa,quke_ck 2500.3,9.45E-05,NA,-0.3,v18,NA,118.612
126.7280397,quke_ck,2497.1,0,quke_ck 2497.1 0 MPa,quke_ck 2497.1,0.000212515,NA,-0.1,v18,NA,47.334
126.737609,quke_ck,2497.2,0,quke_ck 2497.2 0 MPa,quke_ck 2497.2,6.89E-05,NA,-0.36,v18,NA,124.422
126.7433017,quke_ck,2497.3,0,quke_ck 2497.3 0 MPa,quke_ck 2497.3,7.09E-05,NA,-0.2,v18,NA,34.461
126.7520235,quke_ck,2499.1,0,quke_ck 2499.1 0 MPa,quke_ck 2499.1,7.59E-05,NA,-0.14,v18,NA,79.762
126.7619096,quke_ck,2499.2,0,quke_ck 2499.2 0 MPa,quke_ck 2499.2,3.47E-05,NA,-0.204,v18,NA,29.076
126.7697101,quke_ck,2499.3,0,quke_ck 2499.3 0 MPa,quke_ck 2499.3,9.51E-05,NA,-0.224,v18,NA,115.074
139.6747984,quke_ck,2496.4,0,quke_ck 2496.4 0 MPa,quke_ck 2496.4,0.002537942,NA,-0.087,v18,NA,NA
139.6896536,quke_ck,2496.5,0,quke_ck 2496.5 0 MPa,quke_ck 2496.5,0.001041641,NA,-0.219,v18,NA,NA
139.7047251,quke_ck,2496.6,0,quke_ck 2496.6 0 MPa,quke_ck 2496.6,0.001092564,NA,-0.19,v18,NA,NA
139.7117879,quke_ck,2498.4,0,quke_ck 2498.4 0 MPa,quke_ck 2498.4,0.002927582,NA,-0.069,v18,NA,NA
139.7222394,quke_ck,2498.5,0,quke_ck 2498.5 0 MPa,quke_ck 2498.5,0.002219055,NA,-0.142,v18,NA,NA
139.7284165,quke_ck,2498.6,0,quke_ck 2498.6 0 MPa,quke_ck 2498.6,0.000821151,NA,-0.175,v18,NA,NA
139.7375867,quke_ck,2500.4,0,quke_ck 2500.4 0 MPa,quke_ck 2500.4,0.006538657,NA,-0.032,v18,NA,NA
139.7480331,quke_ck,2500.5,0,quke_ck 2500.5 0 MPa,quke_ck 2500.5,0.004102822,NA,-0.046,v18,NA,NA
139.7574383,quke_ck,2500.6,0,quke_ck 2500.6 0 MPa,quke_ck 2500.6,0.003708374,NA,-0.038,v18,NA,NA
139.7654929,quke_ck,2499.4,0,quke_ck 2499.4 0 MPa,quke_ck 2499.4,0.003092972,NA,-0.085,v18,NA,NA
139.7744934,quke_ck,2499.5,0,quke_ck 2499.5 0 MPa,quke_ck 2499.5,0.001452574,NA,-0.109,v18,NA,NA
139.7829717,quke_ck,2499.6,0,quke_ck 2499.6 0 MPa,quke_ck 2499.6,0.000936484,NA,-0.121,v18,NA,NA
139.7913016,quke_ck,2497.4,0,quke_ck 2497.4 0 MPa,quke_ck 2497.4,0.000470718,NA,-0.071,v18,NA,NA
139.799282,quke_ck,2497.5,0,quke_ck 2497.5 0 MPa,quke_ck 2497.5,0.003155934,NA,-0.029,v18,NA,NA
139.8073481,quke_ck,2497.6,0,quke_ck 2497.6 0 MPa,quke_ck 2497.6,0.001994568,NA,-0.067,v18,NA,NA
