Slice,leaf_area
26_1_1,174.426
26_2_1,146.69
26_2_2,137.445
26_3_1,194.504
26_3_2,154.846
26_4_1,179.101
26_4_2,161.437
26_1_2,169.935
26_1_2,108.869
47_1_1,97.425
47_1_2,143.749
47_2_1,64.296
47_2_2,135.55
47_3_1,89.604
47_3_2,123.264
59_1_1,78.864
59_1_2,158.583
59_2_1,127.926
59_2_2,80.848
59_3_1,94.221
59_3_2,137.948
59_3_3,221.61
59_3_3,96.66
126_1_1,99.806
126_1_2,161.926
126_2_1,149.045
126_2_2,114.487
126_3_1,100.165
126_3_2,204.642
126_4_1,144.386
126_4_2,122.157
198_1_1,123.137
198_2_1,118.556
198_2_1,101.113
198_3_1,183.278
198_3_2,127.485
198_4_1,146.698
198_4_2,87.769
208_1_1,145.383
208_1_2,233.66
208_2_1,69.093
208_2_2,66.3
208_3_1,160.112
208_3_2,106.997
216_1_2,122.705
216_2_1,111.238
216_2_2,172.599
216_3_1,124.498
216_3_2,66.091
216_1_1,92.73
216_1_1,86.604
977_1_1,116.569
977_1_2,231.437
977_2_1,153.102
977_2_2,196.646
977_2_3,143.426
977_3_1,183.29
977_3_2,90.042
977_3_3,264.933
977_4_1,81.931
977_4_2,199.683
977_5_1,79.24
977_5_2,155.072
